index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,group,neutral
0,OnnMacMahal,Aug 30 2022,content,neutral
0,OnnMacMahal,Aug 30 2022,tend,neutral
0,OnnMacMahal,Aug 30 2022,niche,neutral
0,OnnMacMahal,Aug 30 2022,circumstances.Our,neutral
0,OnnMacMahal,Aug 30 2022,goal,neutral
0,OnnMacMahal,Aug 30 2022,remove,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,line,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,lines,neutral
0,OnnMacMahal,Aug 30 2022,identity,neutral
0,OnnMacMahal,Aug 30 2022,fold,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,line,neutral
0,OnnMacMahal,Aug 30 2022,back,neutral
0,OnnMacMahal,Aug 30 2022,core,neutral
0,OnnMacMahal,Aug 30 2022,part,neutral
0,OnnMacMahal,Aug 30 2022,minstrel,neutral
0,OnnMacMahal,Aug 30 2022,accessible,neutral
0,OnnMacMahal,Aug 30 2022,regardless,neutral
0,OnnMacMahal,Aug 30 2022,whether,neutral
0,OnnMacMahal,Aug 30 2022,youre,neutral
0,OnnMacMahal,Aug 30 2022,red,neutral
0,OnnMacMahal,Aug 30 2022,line,neutral
0,OnnMacMahal,Aug 30 2022,landscape,neutral
0,OnnMacMahal,Aug 30 2022,quests,neutral
0,OnnMacMahal,Aug 30 2022,blue,neutral
0,OnnMacMahal,Aug 30 2022,line,neutral
0,OnnMacMahal,Aug 30 2022,main-healing,neutral
0,OnnMacMahal,Aug 30 2022,raid,neutral
0,OnnMacMahal,Aug 30 2022,activity.A,neutral
0,OnnMacMahal,Aug 30 2022,things,neutral
0,OnnMacMahal,Aug 30 2022,changing,neutral
0,OnnMacMahal,Aug 30 2022,full,neutral
0,OnnMacMahal,Aug 30 2022,list,neutral
0,OnnMacMahal,Aug 30 2022,changes,neutral
0,OnnMacMahal,Aug 30 2022,please,neutral
0,OnnMacMahal,Aug 30 2022,see,neutral
0,OnnMacMahal,Aug 30 2022,release,neutral
0,OnnMacMahal,Aug 30 2022,notes,neutral
0,OnnMacMahal,Aug 30 2022,hop,neutral
0,OnnMacMahal,Aug 30 2022,Bullroarer,neutral
0,OnnMacMahal,Aug 30 2022,check,neutral
0,OnnMacMahal,Aug 30 2022,things,neutral
0,OnnMacMahal,Aug 30 2022,However,neutral
0,OnnMacMahal,Aug 30 2022,Ill,neutral
0,OnnMacMahal,Aug 30 2022,cover,neutral
0,OnnMacMahal,Aug 30 2022,broad,neutral
0,OnnMacMahal,Aug 30 2022,categories,neutral
0,OnnMacMahal,Aug 30 2022,changes,neutral
0,OnnMacMahal,Aug 30 2022,Anthems,neutral
0,OnnMacMahal,Aug 30 2022,iconic,neutral
0,OnnMacMahal,Aug 30 2022,part,neutral
0,OnnMacMahal,Aug 30 2022,minstrels,neutral
0,OnnMacMahal,Aug 30 2022,toolkit,neutral
0,OnnMacMahal,Aug 30 2022,arent,neutral
0,OnnMacMahal,Aug 30 2022,always,neutral
0,OnnMacMahal,Aug 30 2022,exciting,neutral
0,OnnMacMahal,Aug 30 2022,part,neutral
0,OnnMacMahal,Aug 30 2022,class,neutral
0,OnnMacMahal,Aug 30 2022,want,neutral
0,OnnMacMahal,Aug 30 2022,anthems,neutral
0,OnnMacMahal,Aug 30 2022,interesting,neutral
0,OnnMacMahal,Aug 30 2022,use,neutral
0,OnnMacMahal,Aug 30 2022,dont,neutral
0,OnnMacMahal,Aug 30 2022,want,neutral
0,OnnMacMahal,Aug 30 2022,simply,neutral
0,OnnMacMahal,Aug 30 2022,chore,neutral
0,OnnMacMahal,Aug 30 2022,maintain,neutral
0,OnnMacMahal,Aug 30 2022,end,neutral
0,OnnMacMahal,Aug 30 2022,anthems,neutral
0,OnnMacMahal,Aug 30 2022,share,neutral
0,OnnMacMahal,Aug 30 2022,cooldown,neutral
0,OnnMacMahal,Aug 30 2022,shortened,neutral
0,OnnMacMahal,Aug 30 2022,durations,neutral
0,OnnMacMahal,Aug 30 2022,used,neutral
0,OnnMacMahal,Aug 30 2022,combat,neutral
0,OnnMacMahal,Aug 30 2022,Weve,neutral
0,OnnMacMahal,Aug 30 2022,also,neutral
0,OnnMacMahal,Aug 30 2022,added,neutral
0,OnnMacMahal,Aug 30 2022,couple,neutral
0,OnnMacMahal,Aug 30 2022,anthems,neutral
0,OnnMacMahal,Aug 30 2022,made,neutral
0,OnnMacMahal,Aug 30 2022,sure,neutral
0,OnnMacMahal,Aug 30 2022,theyre,neutral
0,OnnMacMahal,Aug 30 2022,distributed,neutral
0,OnnMacMahal,Aug 30 2022,around,neutral
